,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,issue_d,loan_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,int_rates_add_2pct,new term
10,112149045,,7200,7200,7200,36 months,24.85,285.7,E,E3,Jun-17,Fully Paid,n,,debt_consolidation,Debt consolidation,985xx,WA,6.07,0,Jan-00,0,72.0,,4,0,3560,98.9,5,w,26.85,36 months
11,112436898,,4000,4000,4000,36 months,7.97,125.3,A,A5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,344xx,FL,13.03,0,Aug-05,0,24.0,,11,0,3870,34.6,11,w,9.969999999999999,48 months
12,112156030,,10000,10000,10000,36 months,9.93,322.35,B,B2,Jun-17,Current,n,,credit_card,Credit card refinancing,210xx,MD,8.99,0,Aug-05,1,51.0,72.0,13,2,11868,20.5,15,w,11.93,48 months
13,112119128,,25000,25000,25000,60 months,15.05,595.41,C,C4,Jun-17,Current,n,,credit_card,Credit card refinancing,852xx,AZ,15.98,0,Dec-97,0,,,13,0,26947,73.2,18,w,17.05,60 months
14,112441150,,20000,20000,20000,36 months,10.91,653.93,B,B4,Jun-17,Current,n,,debt_consolidation,Debt consolidation,605xx,IL,20.82,0,Jun-66,0,,,15,0,30759,17.8,30,w,12.91,48 months
15,112438887,,15000,15000,15000,36 months,7.97,469.84,A,A5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,631xx,MO,11.2,0,Aug-07,0,,,14,0,14460,28.9,26,w,9.969999999999999,48 months
16,112390231,,20000,20000,20000,36 months,9.44,640.1,B,B1,Jun-17,Current,n,,credit_card,Credit card refinancing,300xx,GA,25.61,2,Aug-92,0,16.0,,8,0,20589,81.7,14,w,11.44,48 months
17,112156817,,10000,10000,10000,36 months,7.21,309.74,A,A3,Jun-17,Current,n,,credit_card,Credit card refinancing,327xx,FL,6.58,0,Aug-93,2,44.0,,12,0,18633,32.7,59,w,9.21,48 months
18,111927706,,9600,9600,9600,36 months,7.97,300.7,A,A5,Jun-17,Current,n,,credit_card,Credit card refinancing,880xx,NM,18.34,0,Aug-05,0,37.0,,16,0,11808,48.6,44,w,9.969999999999999,48 months
19,112260236,,2400,2400,2400,36 months,11.99,79.71,B,B5,Jun-17,Current,n,,vacation,Vacation,601xx,IL,16.19,1,Apr-07,0,23.0,,16,0,8930,66.6,35,w,13.99,48 months
20,112436935,,6000,6000,6000,36 months,9.44,192.03,B,B1,Jun-17,Current,n,,credit_card,Credit card refinancing,606xx,IL,6.97,0,Dec-07,1,,,3,0,5054,71.2,13,w,11.44,48 months
21,112436920,,26000,26000,26000,36 months,9.93,838.1,B,B2,Jun-17,Current,n,,home_improvement,Home improvement,198xx,DE,12.19,0,Jul-98,0,,69.0,7,1,6857,12.4,10,w,11.93,48 months
22,111743276,,8000,8000,8000,36 months,14.08,273.74,C,C3,Jun-17,Current,n,,vacation,Vacation,070xx,NJ,31.58,0,Nov-06,0,,,16,0,36658,86.7,28,w,16.08,48 months
23,112432991,,3000,3000,3000,36 months,7.97,93.97,A,A5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,483xx,MI,12.71,0,Jul-07,1,38.0,,10,0,3443,31.0,17,w,9.969999999999999,48 months
24,112052261,,7500,7500,7500,36 months,7.35,232.79,A,A4,Jun-17,Fully Paid,n,,debt_consolidation,Debt consolidation,750xx,TX,13.12,0,Mar-13,2,,,19,0,23348,27.2,27,w,9.35,36 months
25,111498756,,12000,12000,12000,60 months,14.08,279.72,C,C3,Jun-17,Current,n,,debt_consolidation,Debt consolidation,802xx,CO,32.49,0,Jul-98,0,,,9,0,13155,44.9,18,w,16.08,60 months
26,112441324,,3600,3600,3600,36 months,7.35,111.74,A,A4,Jun-17,Current,n,,credit_card,Credit card refinancing,658xx,MO,9.55,0,Oct-92,0,,,12,0,12060,11.7,30,w,9.35,48 months
27,112437968,,7000,7000,7000,36 months,7.35,217.27,A,A4,Jun-17,Current,n,,debt_consolidation,Debt consolidation,300xx,GA,19.22,0,Nov-04,1,54.0,,8,0,20055,79.0,12,w,9.35,48 months
28,112314147,,12000,12000,12000,60 months,30.65,393.05,F,F4,Jun-17,Current,n,,house,Home buying,970xx,OR,19.9,2,Aug-99,0,13.0,,17,0,26371,78.0,40,w,32.65,60 months
29,112270114,,4200,4200,4200,36 months,10.91,137.33,B,B4,Jun-17,Current,n,,other,Other,606xx,IL,31.28,0,Sep-04,0,37.0,16.0,23,2,9594,66.2,33,w,12.91,48 months
30,112156214,,5000,5000,5000,36 months,7.35,155.19,A,A4,Jun-17,Current,n,,car,Car financing,481xx,MI,15.76,0,Oct-04,1,72.0,,12,0,3697,13.2,25,w,9.35,48 months
31,112441173,,15000,15000,15000,60 months,12.62,338.39,C,C1,Jun-17,Current,n,,debt_consolidation,Debt consolidation,306xx,GA,21.9,0,Nov-93,1,,,12,0,14646,23.0,24,w,14.62,60 months
32,111872988,,10000,10000,10000,36 months,9.44,320.05,B,B1,Jun-17,Current,n,,credit_card,Credit card refinancing,458xx,OH,30.91,0,Jun-93,0,,,16,0,9983,24.3,24,w,11.44,48 months
33,111735948,,6000,6000,6000,36 months,7.35,186.23,A,A4,Jun-17,Current,n,,debt_consolidation,Debt consolidation,461xx,IN,19.02,0,Feb-04,0,,,15,0,5433,14.8,35,w,9.35,48 months
34,112438798,,4000,4000,4000,36 months,5.32,120.46,A,A1,Jun-17,Current,n,,home_improvement,Home improvement,480xx,MI,8.71,0,May-01,0,,,12,0,15774,29.0,25,w,7.32,48 months
35,112220235,,3000,3000,3000,36 months,16.02,105.51,C,C5,Jun-17,Current,n,,major_purchase,Major purchase,595xx,MT,17.79,0,Feb-08,1,50.0,,15,0,2432,36.3,20,w,18.02,48 months
36,112436856,,2000,2000,2000,36 months,7.07,61.82,A,A2,Jun-17,Current,n,,medical,Medical expenses,917xx,CA,12.15,0,Apr-05,1,,,9,0,38,0.3,12,w,9.07,48 months
37,111226724,,18950,18950,18950,60 months,21.45,517.47,D,D5,Jun-17,Current,n,,credit_card,Credit card refinancing,950xx,CA,31.39,0,Mar-82,2,35.0,,12,0,329271,98.0,17,w,23.45,60 months
38,112120118,,5800,5800,5800,36 months,12.62,194.37,C,C1,Jun-17,Current,n,,debt_consolidation,Debt consolidation,794xx,TX,27.41,0,Jan-09,0,,,11,0,5710,32.3,16,w,14.62,48 months
39,112158057,,7500,7500,7500,36 months,7.35,232.79,A,A4,Jun-17,Current,n,,debt_consolidation,Debt consolidation,206xx,MD,21.43,0,Apr-99,0,,,7,0,30569,62.9,16,w,9.35,48 months
40,112438671,,26000,26000,26000,60 months,12.62,586.54,C,C1,Jun-17,Current,n,,credit_card,Credit card refinancing,786xx,TX,24.71,1,Nov-00,0,13.0,,24,0,54029,63.7,37,w,14.62,60 months
41,110394088,,6000,6000,6000,36 months,11.99,199.26,B,B5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,647xx,MO,20.66,0,Oct-89,0,49.0,,10,0,14339,74.7,20,w,13.99,48 months
42,112028752,,5300,5300,5300,36 months,18.06,191.77,D,D2,Jun-17,Current,n,,other,Other,775xx,TX,2.64,0,Jun-04,0,72.0,67.0,3,1,1043,32.6,10,w,20.06,48 months
43,111999259,,10000,10000,10000,60 months,16.02,243.29,C,C5,Jun-17,Fully Paid,n,,debt_consolidation,Debt consolidation,958xx,CA,10.11,0,Aug-06,0,,55.0,15,2,5733,20.0,21,w,18.02,60 months
44,110183156,,3800,3800,3800,36 months,10.91,124.25,B,B4,Jun-17,Current,n,,credit_card,Credit card refinancing,960xx,CA,24.85,0,Mar-79,0,,11.0,9,2,3700,34.9,14,w,12.91,48 months
45,110441284,,25000,25000,25000,60 months,15.05,595.41,C,C4,Jun-17,Current,n,,credit_card,Credit card refinancing,346xx,FL,16.21,0,Jun-01,1,61.0,,9,0,28440,70.4,11,w,17.05,60 months
46,110411462,,12000,12000,12000,36 months,23.88,470.04,E,E2,Jun-17,Current,n,,credit_card,Credit card refinancing,075xx,NJ,13.75,1,Dec-04,3,5.0,,13,0,18180,53.3,27,w,25.88,48 months
47,111413286,,16000,16000,16000,60 months,12.62,360.95,C,C1,Jun-17,Current,n,,debt_consolidation,Debt consolidation,554xx,MN,21.7,3,Jul-89,0,16.0,,22,0,102527,49.4,43,w,14.62,60 months
48,111835534,,40000,40000,40000,60 months,14.08,932.39,C,C3,Jun-17,Current,n,,debt_consolidation,Debt consolidation,152xx,PA,15.8,2,Dec-88,1,14.0,,12,0,17854,54.9,21,w,16.08,60 months
49,112016659,,9500,9500,9500,36 months,9.44,304.05,B,B1,Jun-17,Current,n,,major_purchase,Major purchase,324xx,FL,2.48,0,Sep-05,0,,,8,0,1853,7.4,15,w,11.44,48 months
50,110987507,,28000,28000,28000,60 months,13.59,645.58,C,C2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,435xx,OH,6.04,1,Jun-96,1,5.0,,4,0,33458,93.0,15,w,15.59,60 months
51,111996192,,6000,6000,6000,36 months,10.42,194.79,B,B3,Jun-17,Current,n,,credit_card,Credit card refinancing,752xx,TX,14.69,0,Aug-11,1,,,14,0,5877,50.7,14,w,12.42,48 months
52,112159881,,9600,9600,9600,36 months,12.62,321.71,C,C1,Jun-17,Current,n,,credit_card,Credit card refinancing,279xx,NC,14.87,0,Dec-05,0,,,8,0,22136,75.0,21,w,14.62,48 months
53,112339948,,13925,13925,13925,36 months,21.45,527.85,D,D5,Jun-17,Current,n,,credit_card,Credit card refinancing,114xx,NY,33.98,0,Oct-83,3,36.0,,14,0,10345,75.5,22,w,23.45,48 months
54,112329339,,15000,15000,15000,36 months,11.99,498.15,B,B5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,605xx,IL,13.63,0,Sep-86,2,60.0,67.0,19,1,32720,14.2,31,w,13.99,48 months
55,112043881,,9600,9600,9600,36 months,13.59,326.2,C,C2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,902xx,CA,19.38,1,Sep-87,0,16.0,,8,0,8608,64.2,15,w,15.59,48 months
56,111849195,,26750,26750,26750,60 months,13.59,616.76,C,C2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,452xx,OH,23.8,0,Mar-98,0,,,13,0,24721,51.1,26,w,15.59,60 months
57,111895855,,25000,25000,25000,36 months,11.99,830.24,B,B5,Jun-17,Current,n,,credit_card,Credit card refinancing,062xx,CT,10.14,0,May-90,0,,84.0,10,1,9352,85.0,16,w,13.99,48 months
58,111733744,,6000,6000,6000,36 months,10.42,194.79,B,B3,Jun-17,Current,n,,credit_card,Credit card refinancing,930xx,CA,5.07,0,Jun-11,1,,,6,0,9268,51.5,7,w,12.42,48 months
59,111737590,,17600,17600,17600,60 months,9.93,373.35,B,B2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,128xx,NY,25.42,0,Mar-99,0,,,6,0,20795,52.0,8,w,11.93,60 months
60,112438261,,9600,9600,9600,36 months,7.21,297.35,A,A3,Jun-17,Current,n,,debt_consolidation,Debt consolidation,751xx,TX,18.32,0,Oct-00,1,31.0,,12,0,3485,12.8,32,w,9.21,48 months
61,111428938,,1200,1200,1200,36 months,12.62,40.22,C,C1,Jun-17,Current,n,,debt_consolidation,Debt consolidation,786xx,TX,18.83,0,Mar-05,0,,40.0,11,2,11900,58.9,20,w,14.62,48 months
62,112154340,,20000,20000,20000,60 months,13.59,461.13,C,C2,Jun-17,Current,n,,home_improvement,Home improvement,301xx,GA,29.23,0,Aug-85,0,43.0,,39,0,149574,29.8,73,w,15.59,60 months
63,111105363,,11200,11200,11200,36 months,5.32,337.29,A,A1,Jun-17,Current,n,,debt_consolidation,Debt consolidation,226xx,VA,11.63,1,Feb-88,0,5.0,,9,0,28613,48.6,35,w,7.32,48 months
64,111539554,,20000,20000,20000,60 months,18.06,508.53,D,D2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,800xx,CO,16.41,0,Apr-11,1,,81.0,7,1,19203,80.7,8,w,20.06,60 months
65,111926979,,20000,20000,20000,36 months,12.62,670.23,C,C1,Jun-17,Current,n,,debt_consolidation,Debt consolidation,483xx,MI,26.67,0,Nov-06,1,77.0,72.0,20,1,16561,46.4,36,w,14.62,48 months
66,111849153,,4500,4500,4500,36 months,10.42,146.1,B,B3,Jun-17,Current,n,,debt_consolidation,Debt consolidation,720xx,AR,28.02,0,Mar-06,1,63.0,37.0,15,2,1283,9.7,24,w,12.42,48 months
67,111776983,,28000,28000,28000,60 months,17.09,697.23,D,D1,Jun-17,Current,n,,debt_consolidation,Debt consolidation,300xx,GA,24.07,0,Feb-13,0,,,10,0,18802,81.0,12,w,19.09,60 months
68,111494367,,20000,20000,20000,36 months,9.93,644.69,B,B2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,945xx,CA,26.73,0,Dec-04,1,59.0,,13,0,19001,67.4,38,w,11.93,48 months
69,112032398,,13725,13725,13725,36 months,7.97,429.91,A,A5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,440xx,OH,11.59,0,Jun-97,0,37.0,,7,0,14039,76.7,13,w,9.969999999999999,48 months
70,112052888,,13200,13200,13200,60 months,19.03,342.64,D,D3,Jun-17,Current,n,,debt_consolidation,Debt consolidation,834xx,ID,25.28,0,Jun-12,1,,,12,0,16411,67.8,14,w,21.03,60 months
71,111987043,,1000,1000,1000,36 months,7.07,30.91,A,A2,Jun-17,Current,n,,other,Other,177xx,PA,20.81,0,Feb-01,0,32.0,,10,0,3470,34.7,24,w,9.07,48 months
72,110627713,,14000,14000,14000,60 months,15.05,333.43,C,C4,Jun-17,Current,n,,debt_consolidation,Debt consolidation,900xx,CA,16.04,0,Mar-07,0,70.0,,13,0,11553,66.0,20,w,17.05,60 months
73,110919365,,10200,10200,10200,60 months,14.08,237.76,C,C3,Jun-17,Current,n,,credit_card,Credit card refinancing,450xx,OH,11.05,1,Jun-06,0,6.0,,6,0,5378,51.2,11,w,16.08,60 months
74,112032757,,12000,12000,12000,60 months,21.45,327.69,D,D5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,152xx,PA,12.26,0,May-07,0,,,8,0,12068,35.6,10,w,23.45,60 months
75,112060838,,10000,10000,10000,36 months,15.05,346.9,C,C4,Jun-17,Current,n,,credit_card,Credit card refinancing,554xx,MN,27.22,0,May-01,0,52.0,91.0,13,1,9337,62.2,27,w,17.05,48 months
76,109731451,,8000,8000,8000,36 months,18.06,289.47,D,D2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,212xx,MD,18.79,2,Dec-05,2,7.0,,10,0,8289,66.8,18,f,20.06,48 months
77,111110566,,25600,25600,25600,60 months,13.59,590.24,C,C2,Jun-17,Current,n,,credit_card,Credit card refinancing,672xx,KS,14.6,0,May-04,1,,,9,0,63426,32.3,27,w,15.59,60 months
78,112057431,,7000,7000,7000,36 months,5.32,210.81,A,A1,Jun-17,Current,n,,home_improvement,Home improvement,711xx,LA,14.78,0,Feb-89,0,55.0,,16,0,2127,2.3,43,w,7.32,48 months
79,112432881,,6000,6000,6000,36 months,10.91,196.18,B,B4,Jun-17,Current,n,,debt_consolidation,Debt consolidation,894xx,NV,6.53,0,Jan-06,0,29.0,,4,0,6514,61.5,7,w,12.91,48 months
80,111104344,,6000,6000,6000,36 months,10.91,196.18,B,B4,Jun-17,Current,n,,debt_consolidation,Debt consolidation,801xx,CO,24.32,4,Dec-89,0,9.0,,15,0,12637,54.0,54,w,12.91,48 months
81,112219741,,10000,10000,10000,36 months,13.59,339.79,C,C2,Jun-17,Current,n,,other,Other,926xx,CA,19.29,0,Mar-10,2,36.0,97.0,22,1,3506,10.6,33,w,15.59,48 months
82,112048245,,12000,12000,12000,36 months,9.44,384.06,B,B1,Jun-17,Current,n,,credit_card,Credit card refinancing,941xx,CA,20.77,0,Apr-14,0,,,8,0,2936,14.3,8,w,11.44,48 months
83,112028978,,5400,5400,5400,36 months,7.21,167.26,A,A3,Jun-17,Current,n,,credit_card,Credit card refinancing,802xx,CO,4.85,0,Jan-07,0,,,3,0,3818,42.0,5,w,9.21,48 months
84,112051969,,28800,28800,28800,60 months,15.05,685.91,C,C4,Jun-17,Current,n,,debt_consolidation,Debt consolidation,952xx,CA,34.44,0,Aug-99,2,,,9,0,21774,95.1,17,w,17.05,60 months
85,111116526,,4000,4000,4000,36 months,10.91,130.79,B,B4,Jun-17,Current,n,,home_improvement,Home improvement,930xx,CA,22.36,0,Oct-93,0,33.0,,5,0,2074,21.6,15,w,12.91,48 months
86,110659062,,32000,32000,32000,60 months,10.42,686.54,B,B3,Jun-17,Current,n,,small_business,Business,770xx,TX,6.67,0,Apr-98,0,,47.0,12,1,18486,22.5,20,w,12.42,60 months
87,111812442,,25750,25750,25750,36 months,24.85,1021.78,E,E3,Jun-17,Current,n,,debt_consolidation,Debt consolidation,701xx,LA,19.04,0,Nov-04,1,47.0,,5,0,8565,97.3,16,w,26.85,48 months
88,110348357,,4000,4000,4000,36 months,9.93,128.94,B,B2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,444xx,OH,16.29,0,Jun-06,0,65.0,63.0,15,2,5449,31.3,32,w,11.93,48 months
89,111673824,,25000,25000,25000,36 months,16.02,879.18,C,C5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,773xx,TX,29.83,0,Jul-06,0,35.0,,13,0,16306,42.9,25,w,18.02,48 months
90,112044636,,35000,35000,35000,36 months,5.32,1054.02,A,A1,Jun-17,Current,n,,debt_consolidation,Debt consolidation,750xx,TX,12.44,0,May-96,0,,,8,0,37621,33.8,25,w,7.32,48 months
91,111808508,,14000,14000,14000,36 months,16.02,492.34,C,C5,Jun-17,Fully Paid,n,,debt_consolidation,Debt consolidation,026xx,MA,10.86,1,May-08,0,17.0,,4,0,2700,90.0,10,w,18.02,36 months
92,111071764,,17700,17700,17700,36 months,30.79,759.08,G,G1,Jun-17,Fully Paid,n,,home_improvement,Home improvement,080xx,NJ,7.09,0,Oct-89,3,29.0,80.0,14,1,11807,24.3,36,f,32.79,36 months
93,112048295,,16000,16000,16000,36 months,7.97,501.17,A,A5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,921xx,CA,31.46,0,May-01,0,,,11,0,74605,19.4,16,w,9.969999999999999,48 months
94,111837549,,8000,8000,8000,36 months,10.42,259.72,B,B3,Jun-17,Current,n,,credit_card,Credit card refinancing,550xx,MN,29.84,0,Sep-98,0,80.0,62.0,11,2,10000,31.4,29,w,12.42,48 months
95,112038266,,26025,26025,26025,36 months,30.17,1107.23,F,F3,Jun-17,Current,n,,debt_consolidation,Debt consolidation,998xx,AK,14.69,0,Oct-00,0,45.0,,6,0,13428,87.2,11,f,32.17,48 months
96,111877690,,10000,10000,10000,36 months,18.06,361.83,D,D2,Jun-17,Current,n,,other,Other,288xx,NC,25.22,0,Jul-00,0,47.0,39.0,10,1,2675,40.5,16,w,20.06,48 months
97,111959117,,4000,4000,4000,36 months,11.99,132.84,B,B5,Jun-17,Current,n,,other,Other,381xx,TN,21.45,0,Aug-89,0,27.0,,11,0,23429,98.9,22,w,13.99,48 months
98,112349857,,25000,25000,25000,36 months,7.35,775.94,A,A4,Jun-17,Current,n,,debt_consolidation,Debt consolidation,794xx,TX,24.03,0,Apr-82,1,,,14,0,17882,30.2,56,w,9.35,48 months
99,112132535,,3000,3000,3000,36 months,11.99,99.63,B,B5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,119xx,NY,20.58,0,Nov-88,1,60.0,,24,0,121423,53.0,44,w,13.99,48 months
100,112147296,,10000,10000,10000,36 months,11.99,332.1,B,B5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,104xx,NY,5.8,0,Sep-04,0,28.0,,7,0,4672,14.6,11,w,13.99,48 months
101,112329351,,20000,20000,20000,36 months,7.97,626.46,A,A5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,100xx,NY,11.58,0,Jun-05,0,,,7,0,25728,86.9,16,w,9.969999999999999,48 months
102,111786906,,14000,14000,14000,36 months,9.93,451.29,B,B2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,334xx,FL,28.32,1,Jun-93,1,19.0,,16,0,22584,66.6,32,w,11.93,48 months
103,112047583,,28000,28000,28000,60 months,9.44,587.24,B,B1,Jun-17,Current,n,,home_improvement,Home improvement,278xx,NC,27.62,0,Apr-04,0,,,10,0,4828,13.8,29,w,11.44,60 months
104,112299951,,4500,4500,4500,36 months,20.0,167.24,D,D4,Jun-17,In Grace Period,n,,credit_card,Credit card refinancing,530xx,WI,32.33,0,Feb-05,1,58.0,,10,0,7158,80.4,19,w,22.0,48 months
105,112043626,,12000,12000,12000,36 months,7.07,370.91,A,A2,Jun-17,Current,n,,credit_card,Credit card refinancing,481xx,MI,27.4,0,Sep-04,0,,114.0,26,1,13294,41.0,33,w,9.07,48 months
106,111866510,,7500,7500,7500,36 months,7.07,231.82,A,A2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,945xx,CA,11.02,0,Oct-05,0,,,5,0,12617,35.6,6,w,9.07,48 months
107,111082085,,3500,3500,3500,36 months,18.06,126.64,D,D2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,857xx,AZ,32.53,0,Nov-94,0,70.0,,3,0,1493,71.1,13,w,20.06,48 months
108,111112804,,23000,23000,23000,60 months,15.05,547.78,C,C4,Jun-17,Current,n,,credit_card,Credit card refinancing,925xx,CA,19.88,0,Mar-05,0,,,10,0,11531,46.9,15,w,17.05,60 months
109,112026101,,5000,5000,5000,36 months,7.35,155.19,A,A4,Jun-17,Current,n,,debt_consolidation,Debt consolidation,600xx,IL,12.1,0,Dec-96,0,,,10,0,8553,16.4,15,w,9.35,48 months
110,111660533,,10000,10000,10000,36 months,11.99,332.1,B,B5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,801xx,CO,3.2,0,Jun-03,2,49.0,104.0,4,1,5962,53.7,8,w,13.99,48 months
111,111937864,,6150,6150,6150,36 months,16.02,216.28,C,C5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,112xx,NY,32.81,1,Apr-92,0,22.0,,12,0,10067,27.8,21,w,18.02,48 months
112,112436524,,40000,40000,40000,60 months,9.93,848.51,B,B2,Jun-17,Current,n,,credit_card,Credit card refinancing,300xx,GA,23.67,0,Aug-03,0,,,13,0,40300,80.6,31,w,11.93,60 months
113,112379224,,14000,14000,14000,36 months,14.08,479.04,C,C3,Jun-17,Current,n,,debt_consolidation,Debt consolidation,190xx,PA,19.73,0,Sep-11,1,,,8,0,14235,56.0,11,w,16.08,48 months
114,112031386,,12000,12000,12000,60 months,26.3,361.42,E,E5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,932xx,CA,32.99,0,Jun-94,0,,99.0,12,1,12139,42.9,21,w,28.3,60 months
115,111896883,,10800,10800,10800,36 months,9.93,348.14,B,B2,Jun-17,Current,n,,vacation,Vacation,300xx,GA,15.52,0,May-86,2,,,14,0,74579,70.0,37,w,11.93,48 months
116,111813439,,2400,2400,2400,36 months,14.08,82.12,C,C3,Jun-17,Current,n,,credit_card,Credit card refinancing,608xx,IL,21.38,0,Sep-10,0,,,7,0,5397,42.8,8,w,16.08,48 months
117,112062595,,21000,21000,21000,60 months,14.08,489.51,C,C3,Jun-17,Current,n,,debt_consolidation,Debt consolidation,770xx,TX,12.86,0,Oct-01,0,,,16,0,14543,39.2,19,w,16.08,60 months
118,112313910,,11200,11200,11200,60 months,21.45,305.84,D,D5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,323xx,FL,26.38,0,Dec-05,0,,64.0,17,1,21673,50.1,31,w,23.45,60 months
119,112438361,,16800,16800,16800,60 months,14.08,391.61,C,C3,Jun-17,Current,n,,credit_card,Credit card refinancing,297xx,SC,27.86,0,Oct-99,0,29.0,,19,0,24774,56.0,28,w,16.08,60 months
120,110601516,,1000,1000,1000,36 months,10.42,32.47,B,B3,Jun-17,Current,n,,home_improvement,Home improvement,156xx,PA,12.65,0,Jul-97,0,,,13,0,7935,36.9,14,w,12.42,48 months
121,111826922,,12000,12000,12000,60 months,14.08,279.72,C,C3,Jun-17,Current,n,,debt_consolidation,Debt consolidation,800xx,CO,0.5,0,Sep-07,0,33.0,,4,0,1401,26.9,12,w,16.08,60 months
122,110669135,,5000,5000,5000,36 months,11.99,166.05,B,B5,Jun-17,Current,n,,other,Other,335xx,FL,32.23,1,Oct-02,0,19.0,,8,0,24661,93.8,17,w,13.99,48 months
123,111005622,,10000,10000,10000,60 months,13.59,230.57,C,C2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,800xx,CO,19.54,0,Sep-04,0,,,9,0,17246,66.3,21,w,15.59,60 months
124,112119543,,28000,28000,28000,36 months,7.21,867.25,A,A3,Jun-17,Current,n,,debt_consolidation,Debt consolidation,212xx,MD,15.48,0,Oct-04,0,,,10,0,27390,44.7,29,w,9.21,48 months
125,112006924,,21075,21075,21075,36 months,11.99,699.9,B,B5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,751xx,TX,22.85,0,Dec-98,0,27.0,17.0,7,6,2924,27.6,14,w,13.99,48 months
